Date,Open,High,Low,Close,Adj Close,Volume
7/7/2017,35.724998,36.1875,35.724998,36.044998,34.375809,76806800
10/7/2017,36.0275,36.487499,35.842499,36.264999,34.585625,84362400
11/7/2017,36.182499,36.462502,36.095001,36.3825,34.697689,79127200
12/7/2017,36.467499,36.544998,36.205002,36.435001,34.747765,99538000
13/7/2017,36.375,37.122501,36.360001,36.942501,35.231762,100797600
14/7/2017,36.9925,37.3325,36.8325,37.259998,35.534557,80528400
17/7/2017,37.205002,37.724998,37.142502,37.389999,35.658535,95174000
18/7/2017,37.299999,37.532501,37.1675,37.52,35.782524,71475200
19/7/2017,37.619999,37.855,37.487499,37.755001,36.00663,83692000
20/7/2017,37.875,37.935001,37.547501,37.584999,35.844505,68974800
21/7/2017,37.497501,37.610001,37.220001,37.567501,35.827812,105010400
24/7/2017,37.645,38.110001,37.474998,38.022499,36.261749,85972800
25/7/2017,37.950001,38.459999,37.950001,38.185001,36.416725,75415600
26/7/2017,38.337502,38.482498,38.264999,38.365002,36.588387,63124000
27/7/2017,38.4375,38.497501,36.825001,37.639999,35.896961,129905200
28/7/2017,37.4725,37.557499,37.297501,37.375,35.644234,68854800
31/7/2017,37.474998,37.5825,37.032501,37.182499,35.460644,79383600
1/8/2017,37.275002,37.555,37.102501,37.512501,35.775372,141474400
2/8/2017,39.82,39.9375,39.040001,39.285,37.465775,279747200
3/8/2017,39.262501,39.302502,38.755001,38.892502,37.091457,108389200
4/8/2017,39.017502,39.349998,38.922501,39.0975,37.286964,82239600
7/8/2017,39.264999,39.73,39.1675,39.702499,37.863949,87481200
8/8/2017,39.650002,40.4575,39.567501,40.02,38.166752,144823600
9/8/2017,39.814999,40.317501,39.7775,40.264999,38.400398,104526000
10/8/2017,39.974998,40,38.657501,38.830002,37.177273,163217200
11/8/2017,39.150002,39.642502,39.017502,39.369999,37.694294,105028400
14/8/2017,39.830002,40.052502,39.6875,39.962502,38.26157,88490800
15/8/2017,40.165001,40.549999,40.035,40.400002,38.68045,117862000
16/8/2017,40.485001,40.627499,40.037498,40.237499,38.524868,110686400
17/8/2017,40.130001,40.177502,39.459999,39.465,37.785248,111762400
18/8/2017,39.465,39.875,39.18,39.375,37.699078,109712400
21/8/2017,39.375,39.4725,38.7775,39.302502,37.629669,105474000
22/8/2017,39.557499,40,39.505001,39.945,38.244816,86418400
23/8/2017,39.767502,40.1175,39.720001,39.994999,38.292686,77596400
24/8/2017,40.107498,40.185001,39.637501,39.817501,38.122749,79275600
25/8/2017,39.912498,40.139999,39.817501,39.965,38.263977,101920400
28/8/2017,40.035,40.5,39.982498,40.3675,38.649326,103864000
29/8/2017,40.025002,40.779999,40,40.727501,38.994011,118067600
30/8/2017,40.950001,40.9725,40.6525,40.837502,39.099335,109078400
31/8/2017,40.91,41.130001,40.869999,41,39.254917,107140400
1/9/2017,41.200001,41.235001,40.907501,41.012501,39.266884,66364400
5/9/2017,40.9375,41.0625,40.139999,40.52,38.795345,117874000
6/9/2017,40.677502,40.747501,40.130001,40.477501,38.75465,86606800
7/9/2017,40.522499,40.560001,40.09,40.314999,38.599068,87714000
8/9/2017,40.215,40.287498,39.6325,39.657501,37.969559,114446000
11/9/2017,40.125,40.512501,39.9725,40.375,38.656517,126323200
12/9/2017,40.6525,40.990002,39.692501,40.215,38.503326,286856000
13/9/2017,39.967499,39.990002,39.477501,39.912498,38.213703,179629600
14/9/2017,39.747501,39.849998,39.522499,39.57,37.88578,95042800
15/9/2017,39.6175,40.2425,39.5,39.970001,38.268757,196458400
18/9/2017,40.0275,40.125,39.5,39.6675,37.979126,113077600
19/9/2017,39.877499,39.942501,39.610001,39.682499,37.993488,83242400
20/9/2017,39.474998,39.564999,38.4575,39.017502,37.356792,211805600
21/9/2017,38.950001,38.950001,38.1875,38.3475,36.715305,150046800
22/9/2017,37.884998,38.067501,37.639999,37.9725,36.356277,186581600
25/9/2017,37.497501,37.9575,37.290001,37.637501,36.035534,177549200
26/9/2017,37.945,38.48,37.922501,38.285,36.655476,146640000
27/9/2017,38.450001,38.68,38.384998,38.557499,36.916378,102016800
28/9/2017,38.4725,38.57,38.174999,38.32,36.688988,88022000
29/9/2017,38.302502,38.532501,38,38.529999,36.890041,105199200
2/10/2017,38.564999,38.612499,38.18,38.452499,36.815842,74795200
3/10/2017,38.502499,38.772499,38.477501,38.619999,36.976215,64921200
4/10/2017,38.407501,38.465,38.115002,38.369999,36.736858,80655200
5/10/2017,38.544998,38.860001,38.512501,38.8475,37.194031,85135200
6/10/2017,38.7425,38.872501,38.639999,38.825001,37.172482,69630400
9/10/2017,38.952499,39.182499,38.872501,38.959999,37.301739,65051600
10/10/2017,39.014999,39.5,38.775002,38.974998,37.316097,62468000
11/10/2017,38.9925,39.244999,38.9375,39.137501,37.471695,67622400
12/10/2017,39.087502,39.342499,38.932499,39,37.340038,64500400
13/10/2017,39.182499,39.32,39.102501,39.247501,37.577011,65576800
16/10/2017,39.474998,40,39.412498,39.970001,38.268757,96486000
17/10/2017,39.945,40.217499,39.807499,40.1175,38.409981,75989200
18/10/2017,40.105,40.177502,39.900002,39.939999,38.240032,65496800
19/10/2017,39.1875,39.27,38.755001,38.994999,37.335255,170336800
20/10/2017,39.1525,39.4375,38.990002,39.0625,37.399876,95896400
23/10/2017,39.2225,39.422501,38.875,39.0425,37.38073,87937200
24/10/2017,39.072498,39.355,39.049999,39.275002,37.603333,71028800
25/10/2017,39.227501,39.387501,38.817501,39.102501,37.438175,84828400
26/10/2017,39.307499,39.4575,39.195,39.352501,37.677536,68002000
27/10/2017,39.822498,40.900002,39.674999,40.762501,39.027523,177816800
30/10/2017,40.9725,42.017502,40.93,41.68,39.905975,178803200
31/10/2017,41.974998,42.412498,41.735001,42.259998,40.461285,144187200
1/11/2017,42.467499,42.485001,41.4025,41.7225,39.946659,134551200
2/11/2017,41.650002,42.125,41.32,42.0275,40.238678,165573600
3/11/2017,43.5,43.564999,42.779999,43.125,41.289471,237594400
6/11/2017,43.092499,43.747501,42.93,43.5625,41.708344,140105200
7/11/2017,43.477501,43.8125,43.400002,43.702499,41.842384,97446000
8/11/2017,43.665001,44.060001,43.5825,44.060001,42.184669,97638000
9/11/2017,43.7775,44.025002,43.285,43.970001,42.098503,117930400
10/11/2017,43.7775,43.845001,43.567501,43.6675,41.959171,100582000
13/11/2017,43.375,43.625,43.349998,43.4925,41.791023,67928400
14/11/2017,43.259998,43.369999,42.794998,42.834999,41.159245,99130000
15/11/2017,42.4925,42.580002,42.095001,42.27,40.616352,116632400
16/11/2017,42.794998,42.967499,42.575001,42.775002,41.101593,94550000
17/11/2017,42.759998,42.8475,42.41,42.537498,40.87339,87598000
20/11/2017,42.572498,42.639999,42.389999,42.494999,40.832546,65049600
21/11/2017,42.695,43.424999,42.695,43.285,41.59164,100525200
22/11/2017,43.34,43.75,43.262501,43.740002,42.028839,102355600
24/11/2017,43.775002,43.875,43.662498,43.7425,42.031242,56106800
27/11/2017,43.762501,43.77,43.334999,43.522499,41.819843,82867200
28/11/2017,43.575001,43.717499,42.965,43.267502,41.574829,105715200
29/11/2017,43.157501,43.23,41.790001,42.369999,40.712433,166665600
30/11/2017,42.607498,43.035,42.110001,42.962502,41.281757,166108800
1/12/2017,42.487499,42.9175,42.125,42.762501,41.089584,159037200
4/12/2017,43.119999,43.154999,42.407501,42.450001,40.789307,130169600
5/12/2017,42.264999,42.880001,42.099998,42.41,40.75087,109400800
6/12/2017,41.875,42.549999,41.615002,42.252499,40.599529,114240000
7/12/2017,42.2575,42.610001,42.227501,42.330002,40.674004,102693200
8/12/2017,42.622501,42.75,42.205002,42.342499,40.686008,93420800
11/12/2017,42.299999,43.2225,42.197498,43.1675,41.478737,141095200
12/12/2017,43.037498,43.0975,42.865002,42.924999,41.245724,77636800
13/12/2017,43.125,43.384998,43,43.067501,41.382652,95273600
14/12/2017,43.099998,43.282501,42.912498,43.055,41.37064,81906000
15/12/2017,43.407501,43.5425,43.115002,43.4925,41.791023,160677200
18/12/2017,43.720001,44.299999,43.715,44.105,42.379566,117684400
19/12/2017,43.7575,43.8475,43.522499,43.634998,41.927948,109745600
20/12/2017,43.717499,43.855,43.3125,43.587502,41.882305,93902400
21/12/2017,43.5425,44.005001,43.525002,43.752499,42.040852,83799600
22/12/2017,43.669998,43.855,43.625,43.752499,42.040852,65397600
26/12/2017,42.700001,42.8675,42.419998,42.642502,40.974274,132742000
27/12/2017,42.525002,42.695,42.427502,42.650002,40.981483,85992800
28/12/2017,42.75,42.962502,42.619999,42.77,41.096786,65920800
29/12/2017,42.630001,42.647499,42.305,42.307499,40.652374,103999600
2/1/2018,42.540001,43.075001,42.314999,43.064999,41.380238,102223600
3/1/2018,43.1325,43.637501,42.990002,43.057499,41.373032,118071600
4/1/2018,43.134998,43.3675,43.02,43.2575,41.565216,89738400
